시군구,번지,본번,부번,단지명,전월세구분,전용면적(㎡),계약년월,계약일,보증금(만원),월세(만원),층,건축년도,도로명,계약기간,계약구분,갱신요구권 사용,종전계약 보증금 (만원),종전계약 월세 (만원)
서울특별시 강북구 미아동,796,0796,0000,경남아너스빌,전세,84.9134,202201,6,"        52,000",             0,3,2008,삼양로74길 8,202205~202405,갱신,-,"35,500",0
서울특별시 강북구 미아동,796,0796,0000,경남아너스빌,전세,62.7103,202201,17,"        18,000",             0,4,2008,삼양로74길 8,202201~202401,신규,-,0,0
서울특별시 강북구 미아동,1356,1356,0000,경남아너스빌(1356-0),월세,114.922,202201,6,           200,            70,22,2003,오패산로30길 30,202201~202401,신규,-,0,0
서울특별시 강북구 미아동,1356,1356,0000,경남아너스빌(1356-0),월세,84.873,202201,7,"        33,000",            30,20,2003,오패산로30길 30,202202~202305,갱신,-,"33,000",10
서울특별시 강북구 미아동,1356,1356,0000,경남아너스빌(1356-0),월세,84.873,202201,10,"        20,000",            60,6,2003,오패산로30길 30,202201~202701,신규,-,0,0
서울특별시 강북구 미아동,1356,1356,0000,경남아너스빌(1356-0),전세,59.964,202201,17,"        41,000",             0,12,2003,오패산로30길 30,202203~202403,신규,-,0,0
서울특별시 강북구 미아동,1356,1356,0000,경남아너스빌(1356-0),전세,59.964,202201,19,"        40,000",             0,7,2003,오패산로30길 30,202203~202403,신규,-,0,0
서울특별시 강북구 미아동,4,0004,0000,꿈의숲롯데캐슬,전세,59.97,202201,8,"        37,800",             0,11,2017,오현로 56,202202~202402,갱신,사용,"36,000",0
서울특별시 강북구 미아동,4,0004,0000,꿈의숲롯데캐슬,전세,59.97,202201,8,"        53,000",             0,10,2017,오현로 56,202202~202402,갱신,-,"38,000",0
서울특별시 강북구 미아동,4,0004,0000,꿈의숲롯데캐슬,월세,39.74,202201,11,"         8,247",            22,4,2017,오현로 56,-,신규,-,0,0
서울특별시 강북구 미아동,4,0004,0000,꿈의숲롯데캐슬,전세,84.98,202201,15,"        45,000",             0,5,2017,오현로 56,202201~202402,갱신,사용,"43,000",0
서울특별시 강북구 미아동,1369,1369,0000,꿈의숲해링턴플레이스,전세,84.86,202201,3,"        62,000",             0,7,2019,오현로 45,202203~202403,신규,-,0,0
서울특별시 강북구 미아동,1369,1369,0000,꿈의숲해링턴플레이스,월세,46.68,202201,3,"         9,524",            16,7,2019,오현로 45,-,신규,-,0,0
서울특별시 강북구 미아동,1369,1369,0000,꿈의숲해링턴플레이스,전세,59.36,202201,4,"        50,000",             0,8,2019,오현로 45,-,-,-, , 
서울특별시 강북구 미아동,1369,1369,0000,꿈의숲해링턴플레이스,전세,59.36,202201,4,"        50,000",             0,8,2019,오현로 45,202201~202401,신규,-,0,0
서울특별시 강북구 미아동,1369,1369,0000,꿈의숲해링턴플레이스,월세,84.67,202201,5,"        38,000",            19,1,2019,오현로 45,-,-,-, , 
서울특별시 강북구 미아동,1369,1369,0000,꿈의숲해링턴플레이스,전세,84.36,202201,8,"        65,000",             0,10,2019,오현로 45,202201~202401,신규,-,0,0
서울특별시 강북구 미아동,1369,1369,0000,꿈의숲해링턴플레이스,전세,84.67,202201,8,"        49,350",             0,14,2019,오현로 45,202201~202401,갱신,사용,"47,000",0
서울특별시 강북구 미아동,1369,1369,0000,꿈의숲해링턴플레이스,전세,84.67,202201,12,"        46,500",             0,4,2019,오현로 45,202201~202301,갱신,사용,"44,500",0
서울특별시 강북구 미아동,1369,1369,0000,꿈의숲해링턴플레이스,전세,84.67,202201,13,"        51,000",             0,8,2019,오현로 45,202201~202401,갱신,사용,"50,000",0
서울특별시 강북구 미아동,1369,1369,0000,꿈의숲해링턴플레이스,월세,84.67,202201,14,"        21,000",            77,3,2019,오현로 45,202202~202402,갱신,사용,"20,000",73
서울특별시 강북구 미아동,1369,1369,0000,꿈의숲해링턴플레이스,월세,46.68,202201,14,"         6,258",            29,6,2019,오현로 45,-,신규,-,0,0
서울특별시 강북구 미아동,1369,1369,0000,꿈의숲해링턴플레이스,월세,84.67,202201,14,"        21,000",            77,3,2019,오현로 45,-,-,-, , 
서울특별시 강북구 미아동,1369,1369,0000,꿈의숲해링턴플레이스,전세,59.36,202201,15,"        38,850",             0,10,2019,오현로 45,202202~202402,갱신,사용,"37,000",0
서울특별시 강북구 미아동,1369,1369,0000,꿈의숲해링턴플레이스,월세,46.68,202201,20,"         9,524",            16,1,2019,오현로 45,-,신규,-,0,0
서울특별시 강북구 미아동,1369,1369,0000,꿈의숲해링턴플레이스,월세,46.68,202201,20,"         9,524",            16,6,2019,오현로 45,-,신규,-,0,0
서울특별시 강북구 미아동,1369,1369,0000,꿈의숲해링턴플레이스,월세,46.68,202201,21,"         9,524",            16,5,2019,오현로 45,-,신규,-,0,0
서울특별시 강북구 미아동,1369,1369,0000,꿈의숲해링턴플레이스,전세,84.67,202201,22,"        42,000",             0,10,2019,오현로 45,-,갱신,사용,"40,000",0
서울특별시 강북구 미아동,1369,1369,0000,꿈의숲해링턴플레이스,월세,49.48,202201,26,"        10,300",            16,6,2019,오현로 45,-,신규,-,0,0
서울특별시 강북구 미아동,1369,1369,0000,꿈의숲해링턴플레이스,전세,59.36,202201,28,"        38,300",             0,7,2019,오현로 45,202202~202402,갱신,-,"36,500",0
서울특별시 강북구 미아동,1369,1369,0000,꿈의숲해링턴플레이스,월세,49.48,202201,28,"        10,144",            17,10,2019,오현로 45,-,신규,-,0,0
서울특별시 강북구 미아동,811,0811,0000,두산위브트레지움,전세,114.88,202201,3,"        80,000",             0,4,2011,삼양로27길 80,202201~202211,신규,-,0,0
서울특별시 강북구 미아동,811,0811,0000,두산위브트레지움,전세,84.99,202201,3,"        55,000",             0,15,2011,삼양로27길 95,-,-,-, , 
서울특별시 강북구 미아동,811,0811,0000,두산위브트레지움,전세,59.54,202201,5,"        35,100",             0,6,2011,삼양로27길 95,-,갱신,사용,"35,100",0
서울특별시 강북구 미아동,811,0811,0000,두산위브트레지움,전세,114.88,202201,8,"        72,000",             0,3,2011,삼양로27길 80,202203~202403,신규,-,0,0
서울특별시 강북구 미아동,811,0811,0000,두산위브트레지움,월세,39.98,202201,10,"         2,402",            16,5,2011,삼양로27길 95,-,-,-, , 
서울특별시 강북구 미아동,811,0811,0000,두산위브트레지움,월세,39.98,202201,10,"         2,402",            16,3,2011,삼양로27길 95,-,-,-, , 
서울특별시 강북구 미아동,811,0811,0000,두산위브트레지움,월세,39.98,202201,10,"         2,402",            16,2,2011,삼양로27길 95,-,-,-, , 
서울특별시 강북구 미아동,811,0811,0000,두산위브트레지움,전세,39.69,202201,11,"         4,957",             0,8,2011,삼양로27길 95,-,-,-, , 
서울특별시 강북구 미아동,811,0811,0000,두산위브트레지움,월세,114.88,202201,11,"        20,000",           150,6,2011,삼양로27길 80,202203~202403,신규,-,0,0
서울특별시 강북구 미아동,811,0811,0000,두산위브트레지움,전세,59.54,202201,12,"        36,750",             0,10,2011,삼양로27길 95,202202~202402,갱신,사용,"35,000",0
서울특별시 강북구 미아동,811,0811,0000,두산위브트레지움,전세,84.99,202201,12,"        43,000",             0,9,2011,삼양로27길 80,202202~202402,갱신,사용,"41,000",0
서울특별시 강북구 미아동,811,0811,0000,두산위브트레지움,월세,84.97,202201,12,"        52,500",            25,9,2011,삼양로27길 95,202202~202402,갱신,-,"30,000",50
서울특별시 강북구 미아동,811,0811,0000,두산위브트레지움,전세,59.99,202201,14,"        47,000",             0,2,2011,삼양로27길 95,202201~202401,신규,-,0,0
서울특별시 강북구 미아동,811,0811,0000,두산위브트레지움,전세,84.97,202201,15,"        44,100",             0,9,2011,삼양로27길 95,202202~202402,갱신,사용,"42,000",0
서울특별시 강북구 미아동,811,0811,0000,두산위브트레지움,전세,84.99,202201,17,"        37,800",             0,15,2011,삼양로27길 95,202201~202401,갱신,사용,"36,000",0
서울특별시 강북구 미아동,811,0811,0000,두산위브트레지움,전세,84.99,202201,20,"        55,000",             0,4,2011,삼양로27길 95,202202~202402,갱신,-,"40,000",0
서울특별시 강북구 미아동,811,0811,0000,두산위브트레지움,전세,84.99,202201,20,"        55,000",             0,4,2011,삼양로27길 95,-,-,-, , 
서울특별시 강북구 미아동,811,0811,0000,두산위브트레지움,전세,114.88,202201,21,"        52,500",             0,9,2011,삼양로27길 80,202201~202401,갱신,사용,"50,000",0
서울특별시 강북구 미아동,811,0811,0000,두산위브트레지움,전세,84.99,202201,24,"        44,100",             0,3,2011,삼양로27길 95,202202~202402,갱신,사용,"42,000",0
서울특별시 강북구 미아동,813,0813,0000,래미안트리베라1단지,월세,84.97,202201,1,"        36,750",            20,13,2010,삼양로19길 25,202201~202401,갱신,사용,"35,000",20
서울특별시 강북구 미아동,813,0813,0000,래미안트리베라1단지,월세,59.6,202201,8,"         3,000",           110,2,2010,삼양로19길 25,202201~202401,갱신,사용,"3,000",105
서울특별시 강북구 미아동,813,0813,0000,래미안트리베라1단지,전세,59.6,202201,11,"        50,000",             0,6,2010,삼양로19길 25,202201~202401,갱신,-,"35,000",0
서울특별시 강북구 미아동,813,0813,0000,래미안트리베라1단지,월세,84.97,202201,11,"         3,000",           180,3,2010,삼양로19길 25,202202~202402,신규,-,0,0
서울특별시 강북구 미아동,813,0813,0000,래미안트리베라1단지,전세,114.98,202201,14,"        33,600",             0,5,2010,삼양로19길 25,202203~202403,신규,-,0,0
서울특별시 강북구 미아동,813,0813,0000,래미안트리베라1단지,월세,84.97,202201,14,            30,            31,20,2010,삼양로19길 25,-,-,-, , 
서울특별시 강북구 미아동,813,0813,0000,래미안트리베라1단지,전세,59.6,202201,15,"        38,850",             0,18,2010,삼양로19길 25,202202~202402,갱신,사용,"37,000",0
서울특별시 강북구 미아동,813,0813,0000,래미안트리베라1단지,월세,84.97,202201,19,"        25,000",            80,18,2010,삼양로19길 25,202203~202403,갱신,사용,"25,000",72
서울특별시 강북구 미아동,813,0813,0000,래미안트리베라1단지,월세,84.97,202201,19,"         3,000",           138,13,2010,삼양로19길 25,-,-,-, , 
서울특별시 강북구 미아동,813,0813,0000,래미안트리베라1단지,월세,84.97,202201,20,"        25,000",            66,20,2010,삼양로19길 25,202203~202403,신규,-,0,0
서울특별시 강북구 미아동,813,0813,0000,래미안트리베라1단지,월세,84.97,202201,20,"        45,000",            40,15,2010,삼양로19길 25,202203~202403,신규,-,0,0
서울특별시 강북구 미아동,813,0813,0000,래미안트리베라1단지,전세,59.6,202201,29,"        50,000",             0,7,2010,삼양로19길 25,202203~202403,신규,-,0,0
서울특별시 강북구 미아동,813,0813,0000,래미안트리베라1단지,전세,84.97,202201,30,"        47,000",             0,8,2010,삼양로19길 25,202205~202405,갱신,사용,"45,000",0
서울특별시 강북구 미아동,813,0813,0000,래미안트리베라1단지(임대),월세,39.93,202201,10,"         2,677",            27,13,2010,삼양로19길 25,-,-,-, , 
서울특별시 강북구 미아동,813,0813,0000,래미안트리베라1단지(임대),월세,39.93,202201,10,"         1,070",            30,13,2010,삼양로19길 25,-,신규,-,0,0
서울특별시 강북구 미아동,813,0813,0000,래미안트리베라1단지(임대),월세,39.93,202201,11,"         5,583",            11,7,2010,삼양로19길 25,-,-,-, , 
서울특별시 강북구 미아동,813,0813,0000,래미안트리베라1단지(임대),월세,39.93,202201,11,"         2,677",            27,7,2010,삼양로19길 25,-,-,-, , 
서울특별시 강북구 미아동,813,0813,0000,래미안트리베라1단지(임대),월세,44.85,202201,14,"         1,207",            34,10,2010,삼양로19길 25,-,-,-, , 
서울특별시 강북구 미아동,813,0813,0000,래미안트리베라1단지(임대),월세,44.85,202201,14,"         1,207",            34,10,2010,삼양로19길 25,-,신규,-,0,0
서울특별시 강북구 미아동,813,0813,0000,래미안트리베라1단지(임대),월세,44.85,202201,14,"         3,020",            31,10,2010,삼양로19길 25,-,신규,-,0,0
서울특별시 강북구 미아동,812,0812,0000,래미안트리베라2단지(임대),월세,38.99,202201,10,"         2,532",            25,4,2010,삼양로27길 19,-,-,-, , 
서울특별시 강북구 미아동,812,0812,0000,래미안트리베라2단지(임대),월세,42.2,202201,11,"         2,735",            27,11,2010,삼양로27길 19,-,-,-, , 
서울특별시 강북구 미아동,812,0812,0000,래미안트리베라2단지(임대),월세,42.2,202201,11,"         5,636",            11,11,2010,삼양로27길 19,-,-,-, , 
서울특별시 강북구 미아동,812,0812,0000,래미안트리베라2단지(임대),월세,38.99,202201,14,"         2,532",            25,13,2010,삼양로27길 19,-,-,-, , 
서울특별시 강북구 미아동,797,0797,0000,미아1차래미안,전세,114.29,202201,8,"        65,000",             0,14,2006,삼양로 256,202203~202403,신규,-,0,0
서울특별시 강북구 미아동,797,0797,0000,미아1차래미안,전세,59.9,202201,17,"        48,000",             0,10,2006,삼양로 256,202201~202401,신규,-,0,0
서울특별시 강북구 미아동,474,0474,0000,미아동부센트레빌,전세,84.93,202201,6,"        38,500",             0,6,2006,숭인로7가길 37,202203~202403,신규,-,0,0
서울특별시 강북구 미아동,474,0474,0000,미아동부센트레빌,전세,59.96,202201,8,"        38,850",             0,15,2006,숭인로7가길 37,202202~202402,갱신,사용,"37,000",0
서울특별시 강북구 미아동,474,0474,0000,미아동부센트레빌,전세,84.92,202201,14,"        44,100",             0,6,2006,숭인로7가길 37,202202~202402,갱신,사용,"42,000",0
서울특별시 강북구 미아동,1355,1355,0000,미아한일유앤아이,전세,116.912,202201,12,"        63,000",             0,5,2002,월계로21가길 41,202202~202402,갱신,-,"50,000",0
서울특별시 강북구 미아동,1355,1355,0000,미아한일유앤아이,전세,84.552,202201,25,"        36,750",             0,6,2002,월계로21가길 41,202204~202404,신규,-,0,0
서울특별시 강북구 미아동,1354,1354,0000,벽산라이브파크,월세,59.67,202201,6,"         5,000",            85,24,2004,솔샘로 159,202202~202402,신규,-,0,0
서울특별시 강북구 미아동,1354,1354,0000,벽산라이브파크,월세,59.67,202201,6,"         5,000",            85,24,2004,솔샘로 159,-,-,-, , 
서울특별시 강북구 미아동,1354,1354,0000,벽산라이브파크,전세,84.89,202201,10,"        30,975",             0,2,2004,솔샘로 159,202201~202401,갱신,사용,"29,500",0
서울특별시 강북구 미아동,1354,1354,0000,벽산라이브파크,월세,60,202201,13,"        30,000",            11,10,2004,솔샘로 159,202202~202402,신규,-,0,0
서울특별시 강북구 미아동,1354,1354,0000,벽산라이브파크,전세,84.89,202201,14,"        35,700",             0,13,2004,솔샘로 159,202207~202407,갱신,사용,"34,000",0
서울특별시 강북구 미아동,1354,1354,0000,벽산라이브파크,전세,59.67,202201,20,"        41,000",             0,19,2004,솔샘로 159,202203~202403,신규,-,0,0
서울특별시 강북구 미아동,1354,1354,0000,벽산라이브파크,월세,84.89,202201,22,"         5,000",           110,15,2004,솔샘로 159,202204~202404,신규,-,0,0
서울특별시 강북구 미아동,1354,1354,0000,벽산라이브파크,전세,59.67,202201,23,"        25,500",             0,20,2004,솔샘로 159,202204~202404,갱신,사용,"24,300",0
서울특별시 강북구 미아동,1354,1354,0000,벽산라이브파크,전세,59.67,202201,28,"        27,300",             0,18,2004,솔샘로 159,202204~202404,신규,-,0,0
서울특별시 강북구 미아동,1357,1357,0000,삼각산아이원,전세,59.758,202201,3,"        34,650",             0,12,2003,삼양로19길 113,202203~202402,갱신,사용,"33,000",0
서울특별시 강북구 미아동,1357,1357,0000,삼각산아이원,전세,84.705,202201,14,"        33,000",             0,7,2003,삼양로19길 113,202202~202302,갱신,사용,"33,000",0
서울특별시 강북구 미아동,1357,1357,0000,삼각산아이원,전세,84.705,202201,14,"        50,000",             0,10,2003,삼양로19길 113,202202~202402,신규,-,0,0
서울특별시 강북구 미아동,1357,1357,0000,삼각산아이원,월세,84.705,202201,22,"         5,000",           111,5,2003,삼양로19길 113,202203~202403,갱신,사용,"5,000",105
서울특별시 강북구 미아동,1357-2,1357,0002,삼각산아이원(임대),월세,24.053,202201,18,"         2,399",             5,6,2003,삼양로19길 113,-,-,-, , 
서울특별시 강북구 미아동,1357-2,1357,0002,삼각산아이원(임대),전세,24.053,202201,18,"         3,295",             0,16,2003,삼양로19길 113,-,-,-, , 
서울특별시 강북구 미아동,812,0812,0000,삼성래미안트리베라2단지,전세,59.33,202201,5,"        49,300",             0,4,2010,삼양로27길 19,202201~202209,신규,-,0,0
서울특별시 강북구 미아동,812,0812,0000,삼성래미안트리베라2단지,전세,59.33,202201,8,"        36,750",             0,2,2010,삼양로27길 19,202202~202402,갱신,사용,"35,000",0
서울특별시 강북구 미아동,812,0812,0000,삼성래미안트리베라2단지,월세,59.38,202201,13,"        15,000",            90,11,2010,삼양로27길 19,202201~202401,신규,-,0,0
서울특별시 강북구 미아동,812,0812,0000,삼성래미안트리베라2단지,전세,59.38,202201,20,"        36,750",             0,10,2010,삼양로27길 19,202203~202403,갱신,사용,"35,000",0
서울특별시 강북구 미아동,812,0812,0000,삼성래미안트리베라2단지,전세,113.89,202201,21,"        54,600",             0,1,2010,삼양로27길 19,202202~202402,갱신,사용,"52,000",0
서울특별시 강북구 미아동,812,0812,0000,삼성래미안트리베라2단지,전세,59.38,202201,22,"        40,000",             0,8,2010,삼양로27길 19,202202~202402,갱신,사용,"38,800",0
서울특별시 강북구 미아동,812,0812,0000,삼성래미안트리베라2단지,전세,113.89,202201,22,"        57,750",             0,22,2010,삼양로27길 19,202202~202402,갱신,사용,"55,000",0
서울특별시 강북구 미아동,812,0812,0000,삼성래미안트리베라2단지,월세,58.99,202201,28,"        20,000",            90,8,2010,삼양로27길 19,202202~202402,신규,-,0,0
서울특별시 강북구 미아동,461,0461,0000,송천센트레빌,월세,84.867,202201,3,"         5,000",           185,14,2010,숭인로 39,-,-,-, , 
서울특별시 강북구 미아동,461,0461,0000,송천센트레빌,월세,84.867,202201,3,"         5,000",           185,14,2010,숭인로 39,-,-,-, , 
서울특별시 강북구 미아동,461,0461,0000,송천센트레빌,월세,59.818,202201,8,"         7,000",           130,4,2010,숭인로 39,202203~202403,갱신,-,"5,000",110
서울특별시 강북구 미아동,461,0461,0000,송천센트레빌,전세,114.475,202201,8,"        68,200",             0,4,2010,숭인로 39,202202~202402,갱신,사용,"65,000",0
서울특별시 강북구 미아동,461,0461,0000,송천센트레빌,월세,84.965,202201,16,"        48,000",            10,4,2010,숭인로 39,202202~202402,갱신,-,"48,000",0
서울특별시 강북구 미아동,461,0461,0000,송천센트레빌,전세,59.818,202201,24,"        44,600",             0,13,2010,숭인로 39,202202~202402,갱신,사용,"42,500",0
서울특별시 강북구 미아동,461,0461,0000,송천센트레빌,월세,74.628,202201,26,"        45,000",            45,2,2010,숭인로 39,202203~202403,신규,-,0,0
서울특별시 강북구 미아동,461,0461,0000,송천센트레빌,전세,59.818,202201,26,"        42,000",             0,11,2010,숭인로 39,-,-,-, , 
서울특별시 강북구 미아동,461,0461,0000,송천센트레빌,전세,114.475,202201,28,"        68,500",             0,13,2010,숭인로 39,202202~202402,갱신,-,"65,000",0
서울특별시 강북구 미아동,461,0461,0000,송천센트레빌(임대),월세,37.059,202201,10,"         3,444",            16,7,2010,숭인로 39,-,-,-, , 
서울특별시 강북구 미아동,461,0461,0000,송천센트레빌(임대),월세,37.059,202201,10,"         2,418",            22,7,2010,숭인로 39,-,-,-, , 
서울특별시 강북구 미아동,1353,1353,0000,에스케이북한산시티,전세,84.86,202201,5,"        34,650",             0,18,2004,솔샘로 174,202203~202403,갱신,사용,"33,000",0
서울특별시 강북구 미아동,1353,1353,0000,에스케이북한산시티,전세,59.98,202201,7,"        28,350",             0,11,2004,솔샘로 174,202202~202402,갱신,사용,"27,000",0
서울특별시 강북구 미아동,1353,1353,0000,에스케이북한산시티,월세,59.98,202201,8,"        28,000",            30,2,2004,솔샘로 174,202202~202402,신규,-,0,0
서울특별시 강북구 미아동,1353,1353,0000,에스케이북한산시티,전세,59.98,202201,8,"        27,300",             0,3,2004,솔샘로 174,202201~202401,갱신,사용,"26,000",0
서울특별시 강북구 미아동,1353,1353,0000,에스케이북한산시티,전세,59.98,202201,8,"        30,450",             0,10,2004,솔샘로 174,-,-,-, , 
서울특별시 강북구 미아동,1353,1353,0000,에스케이북한산시티,월세,59.98,202201,8,"        28,000",            30,2,2004,솔샘로 174,202202~202402,신규,-,0,0
